country,date,yearly_cases,yearly_deaths,yearly_cases_per_million,yearly_deaths_per_million,Region,IncomeGroup,date_health,health_percentage_gdp
Afghanistan,2019,,,,,"Middle East, North Africa, Afghanistan & Pakistan",Low income,2019,14.83131981
Afghanistan,2020,52330.0,2189.0,1289.5896061591372,53.94442285271071,"Middle East, North Africa, Afghanistan & Pakistan",Low income,2020,15.53361416
Afghanistan,2021,105729.0,5167.0,2605.523016808703,127.3324956052792,"Middle East, North Africa, Afghanistan & Pakistan",Low income,2021,21.508461
Afghanistan,2022,49495.0,493.0,1219.72554092961,12.149200761254605,"Middle East, North Africa, Afghanistan & Pakistan",Low income,2022,23.0881691
Africa,2019,,,,,,,2019,
Africa,2020,2725602.0,64914.0,1924.972615896839,45.84589840641715,,,2020,
Africa,2021,7056612.0,163252.0,4983.774175763382,115.29769551474894,,,2021,
Africa,2022,3129787.0,29508.0,2210.4306749811303,20.8402004217358,,,2022,
Albania,2019,,,,,Europe & Central Asia,Upper middle income,2019,6.86214113
Albania,2020,57146.0,1170.0,20210.343751967244,413.7840301998683,Europe & Central Asia,Upper middle income,2020,7.50389433
Albania,2021,151753.0,2042.0,53669.203363180015,722.1769142462656,Europe & Central Asia,Upper middle income,2021,7.39913177
Albania,2022,123869.0,384.0,43807.70430498074,135.80604068098273,Europe & Central Asia,Upper middle income,2022,6.19368076
Algeria,2019,,,,,"Middle East, North Africa, Afghanistan & Pakistan",Upper middle income,2019,5.41731071
Algeria,2020,99311.0,2751.0,2183.746942625645,60.49166597016593,"Middle East, North Africa, Afghanistan & Pakistan",Upper middle income,2020,5.63831711
Algeria,2021,118726.0,3520.0,2610.6628622224353,77.4011865557921,"Middle East, North Africa, Afghanistan & Pakistan",Upper middle income,2021,5.0110569
Algeria,2022,53180.0,610.0,1169.373608249155,13.413273806543515,"Middle East, North Africa, Afghanistan & Pakistan",Upper middle income,2022,3.6230433
American Samoa,2019,,,,,East Asia & Pacific,High income,2019,
American Samoa,2020,0.0,0.0,0.0,0.0,East Asia & Pacific,High income,2020,
American Samoa,2021,11.0,0.0,227.63958445428585,0.0,East Asia & Pacific,High income,2021,
American Samoa,2022,8274.0,34.0,171226.35652497827,703.6132610405199,East Asia & Pacific,High income,2022,
Andorra,2019,,,,,Europe & Central Asia,High income,2019,7.323246
Andorra,2020,7983.0,84.0,100194.5403200502,1054.283024788202,Europe & Central Asia,High income,2020,8.78673935
Andorra,2021,15139.0,56.0,190009.41324129276,702.8553498588014,Europe & Central Asia,High income,2021,8.33450699
Andorra,2022,24629.0,18.0,309118.29306557897,225.91779102604346,Europe & Central Asia,High income,2022,7.53678846
Angola,2019,,,,,Sub-Saharan Africa,Lower middle income,2019,2.47518778
Angola,2020,17433.0,405.0,489.2102659566228,11.365235915357784,Sub-Saharan Africa,Lower middle income,2020,3.27488494
Angola,2021,59354.0,1352.0,1665.610401284311,37.94024433966351,Sub-Saharan Africa,Lower middle income,2021,3.09277129
Angola,2022,28308.0,173.0,794.3878970171559,4.854779786066416,Sub-Saharan Africa,Lower middle income,2022,2.92737579
Anguilla,2019,,,,,,,2019,
Anguilla,2020,13.0,0.0,917.819824908218,0.0,,,2020,
Anguilla,2021,1661.0,5.0,117269.1330132731,353.00762496469923,,,2021,
Anguilla,2022,2230.0,7.0,157441.40073425588,494.21067495057895,,,2022,
Antigua and Barbuda,2019,,,,,Latin America & Caribbean,High income,2019,4.40662289
Antigua and Barbuda,2020,158.0,5.0,1702.5128227231585,53.876988060859446,Latin America & Caribbean,High income,2020,5.72944784
Antigua and Barbuda,2021,4137.0,114.0,44577.81992155511,1228.3953277875953,Latin America & Caribbean,High income,2021,4.99196768
Antigua and Barbuda,2022,4811.0,27.0,51840.43791215895,290.9357355286411,Latin America & Caribbean,High income,2022,5.7299943
Argentina,2019,,,,,Latin America & Caribbean,Upper middle income,2019,10.1555109
Argentina,2020,1674319.0,48271.0,36872.88453502748,1063.0537008720032,Latin America & Caribbean,Upper middle income,2020,10.45030594
Argentina,2021,4106203.0,69905.0,90429.33222186659,1539.4909771800333,Latin America & Caribbean,Upper middle income,2021,10.03832245
Argentina,2022,4110617.0,11948.0,90526.54004925049,263.12621694223617,Latin America & Caribbean,Upper middle income,2022,9.86305332
Armenia,2019,,,,,Europe & Central Asia,Upper middle income,2019,11.3798008
Armenia,2020,159409.0,2823.0,55334.41936331522,979.9262642801776,Europe & Central Asia,Upper middle income,2020,12.24056244
Armenia,2021,185521.0,5149.0,64398.476966178816,1787.3327434568314,Europe & Central Asia,Upper middle income,2021,12.32268524
Armenia,2022,100690.0,738.0,34951.74479290513,256.1762603750517,Europe & Central Asia,Upper middle income,2022,9.96212864
Aruba,2019,,,,,Latin America & Caribbean,High income,2019,
Aruba,2020,5373.0,49.0,49867.280455887,454.7732630445678,Latin America & Caribbean,High income,2020,
Aruba,2021,13648.0,132.0,126668.27538841349,1225.10348412006,Latin America & Caribbean,High income,2021,
Aruba,2022,24839.0,99.0,230532.92001559224,918.8276130900449,Latin America & Caribbean,High income,2022,
Asia,2019,,,,,,,2019,
Asia,2020,20502359.0,335889.0,4348.568947330175,71.24236167895532,,,2020,
Asia,2021,64144814.0,920729.0,13605.173253120276,195.28745635106498,,,2021,
Asia,2022,189920026.0,278140.0,40282.20984423009,58.99374637866862,,,2022,
Asia excl. China,2019,,,,,,,2019,
Asia excl. China,2020,20405686.0,331101.0,6203.170466473112,100.65213904691632,,,2020,
Asia excl. China,2021,64109416.0,919818.0,19488.765825076345,279.6175464098764,,,2021,
Asia excl. China,2022,105127055.0,231295.0,31957.810328125925,70.31188821796525,,,2022,
Australia,2019,,,,,East Asia & Pacific,High income,2019,10.21285057
Australia,2020,28381.0,920.0,1083.2058664790093,35.113258770328336,East Asia & Pacific,High income,2020,10.66040134
Australia,2021,338226.0,1523.0,12908.931587883775,58.12770989914139,East Asia & Pacific,High income,2021,10.42525291
Australia,2022,10418952.0,16467.0,397655.8235778587,628.4891654032573,East Asia & Pacific,High income,2022,9.92687893
